style_number,pattern,style_type,color,style_name,accessory1,wash_care,mrp
12015,529,Shrug,Gray,Melange Shrug,Buttons,Machine Wash,6695
12014,529,Shrug,Yellow,Mustard Shrug,Buttons,Machine Wash,6695
12013,493,Top,Navy,Navy Flap Shirt,Buttons,Machine Wash,2495
12012,230,Top,Black,Black Moss Crepe Rhinestone Embelishment Top,Lace,Hand Wash,3095
12010,603,Dress,Maroon,Maroon Crossover/overlap V Neck Dress,Fusing,Machine Wash,2895
12009,10104,Dress,Maroon,Maroon Box Pleat Dress,Zips,Hand Wash,3295
12008,496,Top,Black,Black Frill Mandarin Collar Top,,Machine Wash,2395
12007,528,Dress,Black,Black Brocade Yoke Party Maxi Dress,Zips,Dry Clean Only,3995
12006,10139,Dress,Navy,Navy A Line Dress,,Hand Wash,3495
12005,497,Other,Black,Mixed Media Hoodie,Zips,Machine Wash,5195
12004,527,Top,Burgundy,Burgundy Frill Mandrain Collar Top,,Machine Wash,2395
12003,463,Top,Black,Ruffle Sleeve Top,Buttons,Machine Wash,2395
12002,540,Top,Red,Red floral print peasant Top,,Machine Wash,3295
12001,519,Dress,Red,Red Brocade Yoke Party Maxi Dress,Zips,Hand Wash,3895
12000,530,Dress,Black,Off Shoulder Midi Dress With Ruffle,Elastic,Machine Wash,5695
11199,519,Dress,Red,Red sequins party maxi dress,Zips,Hand Wash,3095
11198,529,Shrug,Maroon,Waterfall drape front open shrug,Buttons,Hand Wash,3495
11197,721,Top,Black,Black and white1/2 placket top,Buttons,Machine Wash,2495
11196,467,Top,Navy,Navy Blue V Neck Top With Tie,,Machine Wash,2295
11195,530,Dress,Olive,Off Shoulder Midi Dress With Ruffle,Elastic,Machine Wash,4395
11194,585,Dress,Black,Navy floral A line ruffle dress,,Machine Wash,3395
11193,10139,Dress,Black,Black Sequins A Line Party Dress,,Hand Wash,5695
11191,536,Dress,Black,Elegant V Neck Black Satin Party Maxi Dress,Lace,Dry Clean Only,2895
11190,10139,Dress,Black,Black Polka Dot Swing Dress With Bell Sleeves,,Machine Wash,3395
11189,519,Dress,Black,Faux Wrap Around Party Maxi Dress,Zips,Machine Wash,3595
11188,10139,Dress,Black,Black Dress With Round Neck With The Printed Scarf,,Machine Wash,3495
11186,467,Top,Navy,Navy Bird print A line Top,,Machine Wash,2495
11185,529,Shrug,Brown,Waterfall drape front open shrug,Buttons,Hand Wash,3495
11184,542,Dress,Black,Striped Button Front Shirt Dress,Buttons,Machine Wash,2395
11183,535,Top,Blue,Blue Paisely print Bell sleeve stylish comfortable cotton top,,Machine Wash,3395
11182,367,Top,Red,V Neck Red Crepe With Hi Lo Black Buttons,Buttons,Machine Wash,2495
11181,527,Top,Lime Yellow,Lime yellow bird print frill mandarin collar Top,,Machine Wash,2495
11180,413,Top,Yellow,Mandarin collar animal print Top,,Machine Wash,2495
11179,529,Top,Black,Black And White Striped Bell Sleeve Top,,Machine Wash,2395
11178,721,Top,Black,Black And White Colorblock Top,Buttons,Machine Wash,2395
11177,367,Top,Navy,Hi Lo Solid Navy Top/shirt,Buttons,Machine Wash,2495
11176,543,Top,Black,Colorblock Top,Buttons,Machine Wash,2495
11174,462,Top,White,Off shoulder top with multi color tassaled ruffle sleeves,Elastic,Machine Wash,3595
11173,512,Top,White,Bell Sleeve Peasant Top With Yellow Tassales,Lace,Machine Wash,3295
11171,721,Top,Black,Half Placket Striped Shirt,Buttons,Machine Wash,2595
11170,493,Top,Olive,Olive Solid Flap Shirt,Buttons,Machine Wash,2595
11169,10142,Shrug,Black,Satin digital print panel shrug,,Machine Wash,4595
11168,515,Top,Black,Black Crepe Top,Lace,Machine Wash,2295
11164,NO,Shirt,Gray,Grey stripe frill shirt,,Machine Wash,3995
11163,518,Top,Red,Red & white stripe half placket shirt,Buttons,Machine Wash,4095
11162,493,Shirt,Brown,Brown Flap shirt,Buttons,Machine Wash,2695
11161,10142,Shrug,Black,Black floral printed shrug,Lace,Machine Wash,2795
11160,418,Top,Maroon,maroon strpe v neck frill top,Other,Machine Wash,2395
11157,508,Top,Maroon,Maroon Stripe Top,Buttons,Machine Wash,2595
11155,413,Top,Red,red stripe cotton v neck top,Lace,Machine Wash,3695
11154,493,Shirt,Pink,pink crepe flap top,,Machine Wash,1995
11153,NA,Top,White,white tie- dye tunic,,Machine Wash,2195
11152,513,Top,Brown,Dark Brown With Offwhite Binding,,Machine Wash,2295
11149,413,Top,White,White printed v- neck top,,Machine Wash,2495
11147,524,Top,Yellow,Mustard Bell Sleeve Lace Top,Lace,Machine Wash,3095
11145,385,Dress,Peach,Peach georgette dress,,Hand Wash,3195
11144,385,Dress,Turquoise,Solid Georgette Dress,,Machine Wash,2995
11142,480,Top,Red,Red Crepe Ruffle Sleeves Top,,Machine Wash,2495
11141,481,Top,Red,red crepe cold shld top,,Machine Wash,2295
11135,10139,Top,White,White plaid neck tie top,,Machine Wash,2495
11127,519,Dress,Gray,gray multi printed long maxi dress,,Machine Wash,2495
11126,519,Dress,Red,"Red Long Maxi Dress, Lurex Binding",,Machine Wash,3695
11121,467,Top,Black,Black Polka Top,,Machine Wash,2595
11118,467,Top,Orange,Orange Tie Top,,Machine Wash,2295
11116,517,Top,Lime Yellow,Solid Lime Crepe Top,,Machine Wash,2295
11114,467,Top,Gray,Grey and olive floral tie top,,Machine Wash,2395
11112,623,Kaftan,Black,Satin Digital Floral print kaftan,,Machine Wash,3995
11110,467,Tunic,Yellow,Mustard half plaket tunic,Buttons,Machine Wash,2895
11109,514,Top,Navy,Navy And White Stripe Top,Buttons,Machine Wash,2495
11106,497,Hoodie,Gray,Gray fleece hoodie,Zips,Hand Wash,5195
11103,513,Top,White,Black And White V-neck Top,,Machine Wash,2395
11101,512,Top,Navy,Navy Floral Gather Neck Top,Buttons,Machine Wash,2295
11098,376,Top,Blue,Blue printed half placket satin top,Buttons,Machine Wash,2595
11097,459,Dress,Black,Jersey Black Dress,,Machine Wash,5595
11090,494,Dress,Black,Black jersey cape dress,,Hand Wash,5295
11086,508,Shirt,Navy,Navy-white stripe shirt,Buttons,Machine Wash,3095
11079,507,Top,Navy,Navy Stripe Top,,Machine Wash,2295
11067,376,Top,Black,Black animal print placket top,,Machine Wash,2495
11065,10104,Dress,Wine,Wine and white floral print box pleated dress,,Machine Wash,2495
11062,mi,Shrug,Yellow,marble print panel tunic,,Machine Wash,2295
11059,413,Top,Pink,purple jaquard V neck with ombre sequins,Other,Hand Wash,2795
11057,10139,Dress,Red,Cherry Red Lace A-linee Dress,,Hand Wash,3595
11050,492,Dress,Maroon,red skater dress,Buttons,Machine Wash,2295
11047,459,Dress,Wine,Fit and flare cold shoulder dress,,Machine Wash,5595
11042,486,Kaftan,Black,Black & White Kaftan Top,,Machine Wash,2295
11036,470,Top,Navy,blue stripe chambrey tunic,,Machine Wash,3895
11033,250,Shirt,Green,green gingham top with ruffle sleeves,,Machine Wash,3595
11031,478,Top,Green,green gingham top with cold shoulder,,Machine Wash,3595
11029,481,Top,Blue,"navy floral cold shoulder top, ruffle sleeves",,Hand Wash,2295
11028,472,Top,Navy,Navy Solid Top With White Binding Knot At Sleeves,,Machine Wash,2495
11026,476,Top,Turquoise,solid tunic with gathers at shoulders and back yoke,,Machine Wash,2295
11019,467,Top,Green,"Bottle Green Long Tie, V Neck Top",,Hand Wash,2295
11017,376,Top,Navy,blue tiendye half placket tunic,Buttons,Machine Wash,2595
11016,463,Top,Gray,grey floral front gather top,,Machine Wash,2795
11007,463,Top,White,"front gather ruffle sleeves, V neck",,Machine Wash,2195
11001,10104,Top,Multi,Geometric print box pleated dress,,Hand Wash,2295
10997,453,Dress,Black,Black plaid gathered dress,Other,Machine Wash,2495
10988,451,Top,Black,Black Polka Ruffle Sleeves Top,,Machine Wash,2295
10975,223,Top,Black,Mixed media army print Top,,Machine Wash,3895
10965,10142,Duster,Gray,Gray georgette duster,,Hand Wash,1995
10957,10104,Dress,Yellow,Yellow Floral box pleated dress,,Machine Wash,2895
10956,10104,Dress,Pink,Pink Paws box pleated dress,Zips,Machine Wash,2295
10955,367,Top,Maroon,Maroon white polka hi lo tunic,Buttons,Hand Wash,2595
10953,10104,Dress,Green,Green Floral Box Pleated Dress,,Machine Wash,3095
10940,10139,Dress,Navy,Navy net A line dress,,Hand Wash,6595
10936,437,Shirt,Black,Navy & white floral cold shoulder shirt,,Machine Wash,2595
10932,10104,Dress,Black,black crepe dress wth box pleats,,Machine Wash,2195
10928,376,Tunic,White,Cotton half placket tunic,Buttons,Hand Wash,2895
10926,10142,Shrug,Black,Black Floral Duster,Lace,Machine Wash,2695
10923,366,Top,Black,Cold Shoulder Crepe Top,,Machine Wash,2295
10898,429,Top,Blue,Women's Striped Shirt,,Machine Wash,2895
10892,423,Top,Pink,Women's Side Ruffle top,,Hand Wash,3295
10880,10142,Shrug,Black,Lurex Duster with Sequins border,,Hand Wash,2995
10876,10142,Shrug,Pink,Sleevless Butterfly Duster,Lace,Hand Wash,2395
10871,10104,Dress,Black,Black Satin Dress,Zips,Hand Wash,2795
10868,420,Tunic,Green,Women's Side Tail Tunic,,Machine Wash,3295
10866,421,Top,Navy,Women's Side Ruffle Top,,Machine Wash,3295
10864,10142,Shrug,Olive,Women's Sheer Velvet Stripe Duster,,Machine Wash,3095
10862,518,Top,Black,Satin Embellished Top,Buttons,Machine Wash,2795
10840,354,Top,Black,Black Jersey Poncho,,Hand Wash,4295
10835,10142,Shrug,Multi,Multi print duster,,Machine Wash,2295
10834,10142,Shrug,Black,Black floral duster,,Machine Wash,2895
10833,M1,Top,Black,Mosscrepe v neck tunic,,Machine Wash,1995
10833,M1,Top,Black,Mosscrepe v neck tunic,,Machine Wash,1995
10829,10146,Tunic,Black,Plaid crepe hi lo tunic,Buttons,Hand Wash,3495
10827,10142,Shrug,White,Plaid georgette duster,,Machine Wash,2295
10826,10146,Tunic,Black,Floral crepe hi lo tunic,,Machine Wash,2495
10826,10146,Tunic,Black,Floral crepe hi lo tunic,,Machine Wash,2495
10821,108,Dress,Black,Floral asymetrical dress,,Machine Wash,2495
10816,201,Top,Black,Solid crepe shirt,,Machine Wash,2295
10811,412,Tunic,Black,Black Solid Tunic,,Hand Wash,2595
10807,337,Dress,Black,Polka Off Shoulder Sheer Tunic,Elastic,Machine Wash,2395
10805,,,,,,,395
10804,423,Tunic,Navy,Mix Media Solid Tunic,,Machine Wash,2295
10801,10150,Dress,Black,Solid Crepe Diagonal Dress,,Hand Wash,2895
10797,10142,Shrug,Black,Floral print shrug,Tassale,Machine Wash,2695
10793,367,Tunic,Black,Hi-lo Black Crepe Top,Buttons,Machine Wash,2495
10781,413,Top,Navy,Solid tunic V neck sequin,,Machine Wash,2295
10742,10153,Tunic,Black,Embellished Neck Tunic,,Machine Wash,2195
10739,376,Tunic,Black,Solid crepe V neck tunic,Lace,Hand Wash,2295
10735,415,Top,Pink,Pink printed crepe top,,Machine Wash,2295
10730,407,Shrug,Black,Floral with border kaftan shrug,,Machine Wash,2295
10730,407,Shrug,Black,Floral with border kaftan shrug,,Machine Wash,2295
10713,M1,Tunic,Navy,Navy mix media tunic,,Machine Wash,1995
10712,106,Kaftan,White,White scarf print kaftan top,,Machine Wash,2395
10705,403,Shrug,Black,Mosscrepe floral shrug,,Machine Wash,2495
10705,403,Shrug,Black,Mosscrepe floral shrug,,Machine Wash,2495
10704,376,Dress,Black,Floral printed mosscrepe tunic,Zips,Machine Wash,2395
10703,403,Shrug,Multi,Pink georgette shrug,,Machine Wash,2295
10702,412,Tunic,Black,Black mosscrepe tunic,,Machine Wash,2195
10702,412,Tunic,Black,Black mosscrepe tunic,,Machine Wash,2195
10663,10153,Tunic,Black,Embellished neck Tunic,,Hand Wash,2595
10636,230,Tunic,Black,Black sheer tunic,,Machine Wash,1995
10634,376,Top,Beige,Cotton printed top,,Machine Wash,2595
10632,376,Tunic,Black,Cotton Half placket tunic,Buttons,Machine Wash,3095
10630,106,Kaftan,Multi,Satin kaftan top,,Machine Wash,2795
10624,10103,Top,Black,Sheer Gather top,,Machine Wash,1995
10624,10103,Top,Black,Sheer Gather top,,Machine Wash,1995
10617,10104,Dress,Navy,Stripe Box Pleat Dress,Zips,Machine Wash,2295
10614,10103,Top,White,Gather top,,Machine Wash,2295
10613,322,Shirt,Mauve,Cotton shirt,Buttons,Machine Wash,3195
10612,10140,Dress,Green,Paisely Print Crepe Dress,,Machine Wash,3295
10608,376,Top,Gray,Polka Half Placket Tunic,Buttons,Machine Wash,4395
10604,10119,Skirt,Navy,Jersey Flared skirt,,Machine Wash,4295
10600,10142,Shrug,Black,black georgette duster,,Hand Wash,3295
10595,237,Dress,Black,Black midi dress,,Machine Wash,1995
10588,10140,Dress,Red,Paisely print crepe dress,,Machine Wash,2995
10588,10140,Dress,Red,Paisely print crepe dress,,Machine Wash,2995
10578,106,Kaftan,Black,Sheer georgette kaftan,,Machine Wash,2395
10577,106,Kaftan,Red,Sheer georgette kaftan,,Hand Wash,3495
10575,232,Shrug,Blue,Cotton jersey shrug,,Machine Wash,3595
10572,201,Shirt,Red,Georgette sequence shirt,,Hand Wash,2595
10571,10139,Dress,Black,Georgette A line dress,,Hand Wash,2795
10553,391,Cardigan,Blue,Jersey Burnout Two Button Jacket,,Machine Wash,4595
10552,391,Cardigan,Blue,391,,Hand Wash,2895
10546,10153,Kaftan,Red,Embelished neck Tunic,,Hand Wash,3495
10535,376,Shirt,Black,Plaid Long sleeves Shirt,,Machine Wash,2395
10533,317,Dress,Black,Mixed Media Maxi Dress,,Machine Wash,2095
10512,385,Dress,Purple,Purple georgette brocade dress,,Hand Wash,3995
10506,346,Tunic,Royal Blue,Mixed Media Crepe Top,Buttons,Hand Wash,3895
10505,373,Top,Gray,Cold Shoulder jersey top,,Hand Wash,4295
10504,325,Top,Black,Jersey knot top,,Hand Wash,4595
10480,367,Shirt,Gray,Royal blue georgette top,Buttons,Hand Wash,3495
10459,366,Top,Pink,Cold Shoulder jersey top,,Hand Wash,2795
10431,10119,Skirt,Peach,pleat Skirt,,Hand Wash,2795
10320,322,Shirt,Blue,Chambray Shirt,Buttons,Hand Wash,4295
10317,201,Top,Black,Lurex shirt,,Machine Wash,3195
10167,10103,Dress,Black,Black Satin Dress,,Machine Wash,2495
10054,623,Kaftan,Green,Paisley printed kaftan,,Machine Wash,2395
10025,204,Dress,Pink,Georgette Dress,,Hand Wash,3395
18053,692,Top,Mint Green,Green & Navy V-Neck Kaftan Top,,Machine Wash,2495
18056,542,Dress,Navy,Navy blue lurex full placket button shirt dress Party shirt,Buttons,Machine Wash,4195
18060,744,Dress,Maroon,Maroon Silk long dress,,Dry Clean Only,4295
18073,754,Dress,Pink,Pink Polka Dot Summer dress,Metal Rings,Machine Wash,3295
18074,754,Dress,Mint Green,Mint Green Polka Dot dress,Metal Rings,Machine Wash,3195
18076,750,Dress,Wine,Wine floral summer dress,Metal Rings,Machine Wash,3695
18077,721,Shirt,Multi,Multi big polka georgette half placket mandarin collar shirt,Fusing,Machine Wash,2595
18080,721,Shirt,Orange,Satin Geometric print Shirt,Buttons,Machine Wash,2895
18081,692,Kaftan,Neon Green,Neon green tropical print chiffon kaftan,,Machine Wash,2395
18083,530,Dress,Mauve,Off -shoulder ruffle jersey midi dress,Elastic,Hand Wash,4295
18084,530,Dress,Green,Off -shoulder ruffle jersey midi dress,Elastic,Hand Wash,4295
18085,530,Dress,Orange,Off -shoulder ruffle jersey midi dress,Elastic,Hand Wash,4295
18086,530,Dress,Olive,Off -shoulder ruffle jersey midi dress,Elastic,Hand Wash,4295
18087,755,Shirt,Green,Tropical print Oversized shirt,Buttons,Machine Wash,2695
18088,761,Shorts,Green,Tropical print shorts,Elastic,Machine Wash,2095
18089,10142,Shrug,Green,Tropical print shrug with 3/4 regular sleeves,,Machine Wash,2995
18090,744,Dress,Green,chiffon green georgette party dress,,Dry Clean Only,5295
18091,603,Dress,Navy,Elegant Navy Georgette party maxi dress,Zips,Dry Clean Only,4395
18092,751,Dress,Neon Yellow,Neon Yellow abstract print A-Line dress,,Machine Wash,3495
18093,751,Dress,Navy,Navy and White Big polka georgette V-neck A-line calf-length dress,,Machine Wash,3395
18094,751,Dress,Multi,Multi Big polka georgette V-neck A-line calf-length dress,,Machine Wash,3395
18096,762,Dress,Gray,Grey cotton slub oversize dress.,,Machine Wash,3095
18097,721,Top,Beige,Beige floral print satin half placket top,Fusing,Hand Wash,3095
18098,741,Pant,Beige,Beige floral print satin straight pant,Elastic,Hand Wash,2895
18070,752,Top,Black,Black and red polka dots Crop Top,Buttons,Machine Wash,2595
18071,628,Skirt,Black,Black & Red A-Line polka skirt,Zips,Machine Wash,2395
18078,695,Top,Black,Black and brown abstract print v-neck top,,Machine Wash,2595
18079,741,Pant,Black,Black and brown abstract print full elasticated pants,Elastic,Machine Wash,2895
18099,562,Top,Ivory,Ivory-colored net V-neck top,,Hand Wash,2795
19002,763,Dress,Black,Black and red floral A-line dress,Buttons,Machine Wash,3195
19003,763,Dress,Brown,Brown and white big polka A-line dress,Buttons,Machine Wash,2695
19004,764,Dress,Pink,Pink Lycra A-line midi dress,,Hand Wash,3595
19005,759,Dress,Multi,Printed Rayon half-placket mandarin collar calf-length oversized dress,,Machine Wash,3595
18095,759,Dress,Peach,Printed Rayon half-placket mandarin collar calf-length dress,,Machine Wash,3395
19006,759,Dress,Green,Green & White stripe half-placket mandarin collar calf-length oversized dress,Fusing,Machine Wash,2695
19007,695,Top,Turquoise,Solid Cotton Slub V-neck top with regular sleeves.,,Machine Wash,2695
19008,741,Pant,Turquoise,Solid Cotton Slub trousers with a full elastic waistband,Elastic,Machine Wash,2495
19009,695,Top,Ivory,Solid Cotton Slub V-neck top with regular sleeves.,,Machine Wash,2695
19010,741,Pant,Ivory,Solid Cotton Slub trousers with a full elastic waistband,Elastic,Machine Wash,2495
19011,695,Top,Black,Solid Cotton Slub V-neck top with regular sleeves.,,Dry Clean Only,3095
19012,741,Pant,Black,Solid Cotton Slub trousers with a full elastic waistband,Elastic,Machine Wash,2495
19000,721,Top,Gray,Gray Cotton Slub shirt with asequins half placket mandarin collar,Fusing,Dry Clean Only,3095
19001,741,Pant,Gray,Gray Cotton Slub pant.,Elastic,Dry Clean Only,2495
19014,751,Dress,Blue,Blue and rust floral printed A-line summery dress,,Machine Wash,3595
19013,692,Dress,Blue,Blue and Rust floral below knee length kaftan dress,Tassale,Hand Wash,2595
19015,721,Top,Peach,Peach floral half-placket mandarin collar top,Buttons,Machine Wash,3395
19016,10139,Dress,Yellow,Yellow floral printed A-Line dress,,Machine Wash,3195
19017,721,Shirt,Ivory,Ivory and black printed rayon half placket mandarin collar shirt,Fusing,Machine Wash,2895
19018,603,Dress,Magenta,Magenta Floral Georgette Wrap Around dress.,Zips,Machine Wash,3495
19019,493,Shirt,Ivory,Ivory and black Printed Rayon shirt.,Buttons,Machine Wash,2795
19020,721,Shirt,Red,Red and White floral print half-placket mandarin collar shirt,Fusing,Machine Wash,2695
19022,750,Dress,Mint Green,Stylish Mint green floral Print dress,Zips,Machine Wash,2795
19034,770,Top,Navy,Navy Blue French Crepe Top with Sequin Embellishment,Buttons,Dry Clean Only,3295
19035,770,Top,Sky blue,Sky Blue french crepe silk Shirt with Sequin Embellishment,Buttons,Dry Clean Only,3295
19036,771,Kaftan,Turquoise,Turquoise Blue kaftan with sequin border yoke,,Dry Clean Only,3295
19023,763,Dress,Wine,Wine solid Georgette A-line dress,Buttons,Hand Wash,3695
19024,786,Dress,Red,Solid Red Rib A-line dress,,Machine Wash,4295
19026,732,Dress,Turquoise,Turquoise Blue cotton slub oversize dress,Buttons,Machine Wash,4195
19027,763,Dress,Navy,Navy and white big polka A-line dress,,Machine Wash,2595
19028,721,Shirt,Green,Green and Black polka half placket mandarin collar shirt,Buttons,Machine Wash,2495
19030,721,Shirt,Multi,Multi colour geometric print Crepe Shirt,Fusing,Machine Wash,2595
19031,721,Shirt,Olive,Olive & Ivory half placket mandarin collar shirt,Fusing,Machine Wash,2495
19032,677,Shrug,Multi,Tropical print shrug,,Machine Wash,2495
19033,741,Pant,Multi,Tropical print elastic waist comfortable pants,Elastic,Machine Wash,2495
19029,787,Dress,Green,Green rayon A-line ruffle midi dress,Buttons,Machine Wash,3295
19037,518,Shirt,Black,Black and white cow print half placket mandarin collar shirt,Fusing,Machine Wash,2695
19038,798,Shrug,Black,Black and white cow print shrug,,Machine Wash,2495
19040,721,Shirt,Black,Black and white leopard print half placket mandarin collar shirt,Fusing,Machine Wash,2695
19043,518,Shirt,Navy,Navy and white print shirt half placket and mandarin collar.,Fusing,Machine Wash,2695
19044,518,Shirt,Black,Black paisely half placket mandarin collar shirt,Fusing,Machine Wash,2795
19045,518,Shirt,Black,Navy and white printed shirt half placket and mandarin collar.,Fusing,Machine Wash,2695
19046,780,Dress,Gray,Grey georgette with black sequins party dress,Elastic,Dry Clean Only,3695
19051,780,Dress,Pink,Solid pink dress V-neck black sequin dress.,Elastic,Dry Clean Only,3795
19047,783,Top,Gray,V-shape hemline color block Kimono top,,Hand Wash,2395
19048,783,Top,Gray,V-Shape Hemline Color Block Kimono Sleeves Top,,Hand Wash,2395
19049,783,Top,Blue,V-Shape Hemline Color Block Kimono Sleeves Top,,Hand Wash,2395
19041,784,Shirt,Navy,Navy and white geometric colorblock shirt.,Fusing,Machine Wash,2895
19050,783,Top,Black,V-Shape Hemline Color Block Kimono Sleeves Top,,Machine Wash,2295
19052,785,Top,Navy,Solid Navy & contrast printed wrap around top,Fusing,Machine Wash,2395
19053,785,Top,Black,Solid black and printed color blocking wrap around top,Fusing,Machine Wash,2595
19054,783,Top,Blue,V-Shape Hemline Color Block Kimono Sleeves Top,,Machine Wash,2495
19055,783,Top,Red,Red and White Checks Color Block Kimono Sleeves Top,,Machine Wash,2495
19056,780,Dress,Orange,Orange georgette fit and flared party dress with sequins embelishment,Elastic,Dry Clean Only,4295
19057,751,Dress,Black,Multi big polka georgette V-neck A-line calf-length dress,,Machine Wash,3495
19039,784,Shirt,Black,Black and Mustard colorblock shirt with 3/4 sleeves,Buttons,Machine Wash,2695
19060,692,Dress,Navy,Navy and white floral below knee length kaftan dress,Tassale,Machine Wash,2495
19021,721,Shirt,Black,Black & White printed crepe shirt,Buttons,Machine Wash,2595
19061,10142,Shrug,Turquoise,Turquoise blue floral print shrug,,Machine Wash,2495
19058,790,Top,Black,Women's high-low banded collar top with printed patch pocket,Fusing,Machine Wash,2295
19062,741,Pant,Turquoise,Turquoise blue floral print elastic waist pants,Elastic,Machine Wash,2495
19059,791,Top,Navy,Navy blue banded collar with printed placket top,Fusing,Machine Wash,2195
19063,721,Shirt,Pink,Pink and White Big polka half placket mandarin collar shirt,Fusing,Machine Wash,2695
19064,791,Top,Black,Black banded collar with printed placket top,Fusing,Machine Wash,2295
19065,789,Dress,Black,Heart printed A-line slit dress with puffed sleeves,Elastic,Machine Wash,2795
19068,518,Shirt,Yellow,Solid Yellow half-placket mandarin collar shirt,Buttons,Machine Wash,2995
19066,792,Dress,Black,Black slit dress with sequin embellishment,Buttons,Dry Clean Only,3295
19069,518,Shirt,Mint Green,Solid Mint green half-placket mandarin collar shirt,Buttons,Machine Wash,2995
19070,796,Top,Orange,Orange and white zebra print crop top with side drawstrings,,Machine Wash,2095
19071,784,Shirt,Black,Black and Multi colorblock shirt with 3/4 sleeves.,Buttons,Machine Wash,2795
19067,794,Top,Black,Heart Print Tie-Up Neck Top with Long Bell Sleeves,Fusing,Machine Wash,2595
19072,862,Shirt,Peach,Solid Peach half-placket mandarin collar shirt,Buttons,Machine Wash,2995
19076,794,Top,Blue,Classic Stripes Tie-Up Neck Top with Long Bell Sleeves,Elastic,Machine Wash,2595
19077,794,Top,Red,Stripes Printed Tie-Up Neck Top with Long Bell Sleeves,Elastic,Machine Wash,2595
19078,793,Dress,Blue,Blue Stripes Tie-Up Neck Top with Long Bell Sleeves,Fusing,Machine Wash,2495
19079,793,Dress,Black,Black stripes tie-up neck oversized dress,Fusing,Machine Wash,2495
19080,793,Dress,Orange,Zebra print tie-up neck oversized dress,Fusing,Machine Wash,2495
19081,793,Dress,Blue,Polka dot tie-up neck oversized dress,Fusing,Machine Wash,2595
19074,782,Dress,Black,Animal print A-line Dress With Bell Sleeves,,Machine Wash,2695
19075,782,Dress,Black,Animal print A-line Dress With Bell Sleeves,,Machine Wash,2695
19082,792,Dress,Black,Black slit dress with animal print patch work,Buttons,Machine Wash,2495
19083,797,Top,Blue,Floral print peter pan collar top with puffed sleeves,Buttons,Dry Clean Only,2495
19084,797,Top,Black,Solid black peter pan collar top with puffed sleeves,Buttons,Dry Clean Only,2295
19042,784,Shirt,Rust,Rust and Navy stripes shirt with 3/4 sleeves.,Buttons,Machine Wash,2995
19073,749,Top,Black,Black & Ivory leopard print mandarin collar top,Fusing,Machine Wash,2495
19085,800,Dress,White,Sparkle A-line Block Dress,Buttons,Hand Wash,2795
19086,799,Dress,Brown,A-line dress with tie knot collar,,Machine Wash,2695
19087,799,Dress,Black,A-line dress with printed tie knot collar,,Machine Wash,2395
19088,799,Dress,Black,A-line dress with printed tie knot collar,,Machine Wash,2395
19089,801,Top,Red,Striped drop-shoulder top with a wide collar,Fusing,Machine Wash,2495
19090,801,Top,Yellow,Striped drop-shoulder top with a wide collar,Fusing,Machine Wash,2295
19091,802,Top,Multi,V-Neck Vertical Stripe Top,Fusing,Machine Wash,2495
19092,519,Dress,Turquoise,Elegant Turquoise blue Georgette party Maxi dress,Zips,Dry Clean Only,3795
19093,10139,Dress,Turquoise,Sequins embelished Turquoise blue Georgette party dress,,Dry Clean Only,4395
19094,519,Dress,Gray,Sequins Yoke party Maxi dress,Zips,Dry Clean Only,4695
19095,10139,Dress,Gray,Gray Georgette A-Line swing party dress,,Dry Clean Only,4295
19096,10142,Shrug,Burgundy,Festive Burgundy georgette Lurex shrug,,Hand Wash,3395
19097,10142,Shrug,Red,Red georgette festive party shrug,,Hand Wash,3395
19098,519,Dress,Green,Sequins yoke Green georgette party Maxi dress,Zips,Dry Clean Only,4995
19099,519,Dress,Wine,Sequins Yoke Wine party Maxi dress,Zips,Dry Clean Only,4995
19100,250,Shirt,Caramel,Caramel French crepe Sequins collar Shirt,Buttons,Dry Clean Only,3895
19101,519,Dress,Green,Green Silk Sequins Yoke Party Maxi Dress,Zips,Dry Clean Only,4795
19102,519,Dress,Lavender,Lavender Sequins Yoke party Maxi dress,Zips,Dry Clean Only,4295
19103,721,Shirt,Lavender,Festive party Lavender silk half placket shirt,Fusing,Dry Clean Only,3295
19104,519,Dress,Turquoise,Turquoise georgette Elegant party Maxi dress,Zips,Dry Clean Only,3495
19105,10139,Dress,Turquoise,Turquoise Georgette A-Line swing party dress,,Dry Clean Only,3195
19106,10142,Shrug,Pink,Pink shimmery georette embelished party shrug,,Dry Clean Only,2995
19107,10142,Shrug,Black,Black georgette Silver Lurex Party shrug,,Dry Clean Only,3395
19108,10142,Shrug,Burgundy,Burgundy georgette Silver Lurex Party shrug,,Dry Clean Only,3195
19109,804,Top,Gray,Sequins Embellished Party Shirt,Fusing,Hand Wash,3995
19110,803,Dress,Black,Sequin V-Neck A-Line Dress with Net Sleeves,Fusing,Hand Wash,3095
19111,250,Shirt,Caramel,Caramel silk crepe Sequins embelished Shirt,Buttons,Dry Clean Only,3795
19113,250,Shirt,Mint Green,Sea green silk crepeparty shirt,Buttons,Machine Wash,3795
19115,10142,Shrug,Yellow,Yellow shimmery georette embelished party shrug,,Dry Clean Only,2995
19118,784,Shirt,Black,Black and white color blocking full placket shirt,,Machine Wash,2195
19119,721,Shirt,Multi,Multi Abstract print half placket maindarin collar shirt,Fusing,Machine Wash,2995
19120,250,Shirt,Peach,Sequins Embelished silk shirt with V-neck collar,Fusing,Dry Clean Only,4495
